level_in_m,rain,flow_m2ssqkm,elevation,flood_label
5.05,18.3,60.45,0,1
10.31,0,198.57,0,1
7.89,6.2,127.01,0,1
7.81,16.1,124.9,0,1
7.73,3,122.79,0,1
0.67,2,2.104,0,1
0.45,1.5,1.08,0,1
0.66,70.4,2.01,0,1
0.55,56.3,1.523,0,1
0.91,43.8,3.467,0,1
3.02,0,25.627,0,1
2.46,68.8,18.203,0,1
3.38,13.1,30.885,0,1
2.6,7.9,19.974,0,1
3.78,7.6,37.342,0,1
1.17,0,5.26,10,0
1.17,0,5.26,10,0
1.11,0,4.82,10,0
1.17,0,5.26,10,0
1.11,0,4.82,10,0
1.11,0,4.82,10,0
1.17,0,5.26,10,0
1.11,0,4.82,10,0
1.22,0,5.7,10,0
1.36,0,6.8,10,0
1.22,0,5.7,10,0
1.22,4.6,5.7,10,0
1.28,3,6.14,10,0
1.22,0,5.7,10,0
1.22,0,5.7,10,0
1.17,0,5.26,10,0
1.17,0,5.26,10,0
1.22,0,5.7,10,0
1.11,0,4.82,10,0
1.11,0,4.82,10,0
1.28,0,6.14,10,0
1.36,0,6.8,10,0
1.22,0,5.7,10,0
1.36,0,6.8,10,0
1.59,0,8.78,10,0
1.59,0,8.78,10,0
1.51,0,8.12,10,0
1.36,0,6.8,10,0
1.28,0,6.14,10,0
1.28,0,6.14,10,0
0,0,0,10,0
1.22,0,5.7,10,0
1.28,0,6.14,10,0
1.17,0,5.26,10,0
1.28,0,6.14,10,0
1.22,0,5.7,10,0
1.17,0,5.26,10,0
1.17,0,5.26,10,0
1.11,0,4.82,10,0
1.17,0,5.26,10,0
1.17,0,5.26,10,0
1.11,0,4.82,10,0
1.22,0,5.7,10,0
1.28,0,6.14,10,0
1.17,0,5.26,10,0
1.17,0,5.26,10,0
1.22,0,5.7,10,0
1.22,0,5.7,10,0
1.22,0,5.7,10,0
1.22,0,5.7,10,0
1.11,0,4.82,10,0
1.17,0,5.26,10,0
1.28,0,6.14,10,0
1.28,0,6.14,10,0
1.22,0,5.7,10,0
1.28,0,6.14,10,0
1.28,0,6.14,10,0
1.22,0,5.7,10,0
1.22,0,5.7,10,0
1.17,0,5.26,10,0
1.17,0,5.26,10,0
1.22,0,5.7,10,0
1.17,0,5.26,10,0
1.22,0,5.7,10,0
1.36,0,6.8,10,0
1.22,0,5.7,10,0
1.22,0,5.7,10,0
1.22,0,5.7,10,0
1.22,0,5.7,10,0
1.22,0,5.7,10,0
1.22,0,5.7,10,0
1.22,0,5.7,10,0
1.22,0,5.7,10,0
1.28,0,6.14,10,0
1.22,0,5.7,10,0
1.17,0,5.26,10,0
1.17,0,5.26,10,0
1.17,0,5.26,10,0
1.11,0,4.82,10,0
1.17,0,5.26,10,0
1.17,0,5.26,10,0
1.36,0,6.8,10,0
1.22,0,5.7,10,0
1.36,0,6.8,10,0
1.28,0,6.14,10,0
1.17,0,5.26,10,0
1.17,0,5.26,10,0
1.22,0,5.7,10,0
1.22,0,5.7,10,0
1.17,0,5.26,10,0
1.22,0,5.7,10,0
1.22,0,5.7,10,0
1.22,0,5.7,10,0
1.17,0,5.26,10,0
1.11,0,4.82,10,0
1.17,94.2,5.26,10,0
1.17,4.4,5.26,10,0
1.36,0,6.8,10,0
1.28,0,6.14,10,0
1.22,0,5.7,10,0
1.17,0,5.26,10,0
1.28,0,6.14,10,0
1.22,0,5.7,10,0
1.17,0,5.26,10,0
1.17,0,5.26,10,0
